Protein name,RNA name
AB_CD86,LST1
AB_humanCD11b,S100A8
AB_CD155_PVR,S100A9
AB_CD40,MS4A1
AB_CD52,CD52
AB_CD3,CD3E
AB_CD8,CD8A
AB_CD56_NCAM,GNLY
AB_CD19,CD79A
AB_CD33,LYZ
AB_CD11c,TYROBP
AB_CD7,CD7
AB_CD4,IL7R
AB_CD14,FCN1
AB_CD16,FCGR3A
AB_CD20,BANK1
AB_CD335_NKp46,SH2D1B
AB_CD31,AIF1
AB_IgM,FCRLA
AB_CD5,CD3D
AB_CD32,HLA-DRA
AB_CD69,S100A12
AB_CD161,KLRB1
AB_KLRG1_MAFA,CCL5
AB_CD27,TCF7
AB_HLA_DR,HLA-DRB5
AB_CD1c,CD1C
AB_CD64,VCAN
AB_CD141_Thrombomodulin,SERPINA1
AB_CD1d,MNDA
AB_CD314_NKG2D,CTSW
AB_CD35,CD14
AB_CD57Recombinant,GZMH
AB_CD278_ICOS,IL32
AB_CD58_LFA_3,CST3
AB_CD21,VPREB3
AB_CD235ab,HBA2
AB_CD169_Sialoadhesin_Siglec_1,IFI27
AB_CD62P_P_Selectin,FTL
AB_abTCR,CD3G
AB_CD122_IL_2RB,PRF1
AB_CD41,S100A6
AB_CD2,CD2
AB_IgD,TCL1A
AB_CD18,S100A4
AB_CD28,AQP3
AB_CD22,CD19
AB_CD36,CSTA
AB_CD158_KIR2DL1_S1_S3_S5,KIR2DL1
AB_TCR_Va7_2,TRAV1-2
AB_TCR_Vd2,TRDV2
AB_CD305_LAIR1,FCER1G
AB_CD158b_KIR2DL2_L3_NKAT2,KIR2DL3
AB_CLEC12A,CTSS
AB_CD94,KLRD1
AB_Iglightchaink,CYBB
AB_CD88_C5aR,FTH1
